        1	2022-09-14 11:55:44	1	1	1	0
        1	2022-09-19 11:46:54	1	0	1	0
        1	2022-09-19 11:46:59	1	0	1	0
        2	2022-09-19 11:49:10	1	0	1	0
        3	2022-09-19 11:49:16	1	0	1	0
        4	2022-09-19 11:49:19	1	0	1	0
        5	2022-09-19 11:49:22	1	0	1	0
        6	2022-09-19 11:49:26	1	0	1	0
        1	2022-09-19 11:49:40	1	1	1	0
        2	2022-09-19 11:49:48	1	1	1	0
        3	2022-09-19 11:49:54	1	1	1	0
        4	2022-09-19 11:49:59	1	1	1	0
        5	2022-09-19 11:50:03	1	1	1	0
        6	2022-09-19 11:50:08	1	1	1	0
        1	2022-09-19 12:06:49	1	0	1	0
        1	2022-09-20 10:58:37	1	0	1	0
        2	2022-09-20 10:58:41	1	0	1	0
        3	2022-09-20 10:58:44	1	0	1	0
        4	2022-09-20 10:58:49	1	0	1	0
        5	2022-09-20 10:58:54	1	0	1	0
        6	2022-09-20 10:59:00	1	0	1	0
        1	2022-09-20 11:00:14	1	1	1	0
        2	2022-09-20 11:00:18	1	1	1	0
        3	2022-09-20 11:00:21	1	1	1	0
        4	2022-09-20 11:00:25	1	1	1	0
        5	2022-09-20 11:00:28	1	1	1	0
        6	2022-09-20 11:00:33	1	1	1	0
